crystal size,num dislocations,steps
2,3,0
3,8,0
4,13,0
5,20,0
6,31,0
7,12,1
8,7,0
9,70,0
10,47,1
11,9,4
12,115,1
13,77,13
14,3,2
15,63,20
16,132,1
17,279,0
18,182,17
19,163,41
20,115,9
21,309,18
22,16,8
23,464,1
24,217,76
25,248,53
26,665,0
27,310,8
28,292,47
29,577,5
30,805,1
31,955,0
32,933,3
33,178,5
34,872,8
35,1103,3
36,336,17
37,632,1
38,270,294
39,458,169
40,739,63
41,1319,60
42,955,85
43,224,251
44,1339,103
45,1636,50
46,1780,12
47,1726,19
48,346,16
49,493,5
50,416,106
51,1181,35
52,1723,168
53,482,199
54,983,21
55,2988,0
56,75,17
57,1727,18
58,1941,236
59,1518,7
60,1092,147
61,1602,11
62,1666,981
63,3715,4
64,2968,113
65,2815,85
66,630,517
67,4102,14
68,1840,295
69,3255,117
70,281,28
71,113,149
72,2163,1056
73,77,188
74,3841,156
75,4687,79
76,1911,265
77,2410,36
78,525,79
79,6151,0
80,5427,91
81,2134,629
82,4667,482
83,3691,692
84,769,412
85,4965,162
86,2635,85
87,4012,1688
88,4939,199
89,192,384
90,2480,2071
91,5792,656
92,4313,29
93,1007,193
94,1591,164
95,8248,31
96,5501,121
97,524,38
98,7968,135
99,7454,243
100,3456,236
101,9498,27
102,5027,1382
103,3342,630
104,857,46
105,3356,1591
106,4255,1451
107,4286,241
108,6947,190
109,2821,94
110,8346,705
111,11466,33
112,7144,785
113,5631,32
114,12239,26
115,4557,97
116,11931,41
117,6324,14
118,9530,913
119,880,5610
120,2812,21
121,59,611
122,4158,697
123,6962,70
124,13736,72
125,1946,2612
126,373,39
127,5143,10
128,3419,81
129,12852,299
130,4659,24
131,10129,764
132,2182,600
133,10379,1953
134,17348,7
135,3501,2087
136,6239,388
137,14504,793
138,18618,7
139,41,172
140,18665,26
141,18488,39
142,13846,413
143,11337,347
144,19863,18
145,19884,22
146,11404,1525
147,3740,8104
148,16669,627
149,6427,43
150,12093,1790
151,17309,1177
152,12526,4240
153,18654,1672
154,19200,126
155,15034,152
156,16636,9
157,14965,189
158,20911,206
159,806,482
160,6837,3082
161,8853,425
162,25365,6
163,2372,131
164,4670,7128
165,22700,411
166,16905,72
167,20086,94
168,5928,574
169,22255,262
170,14826,656
171,5944,948
172,28889,9
173,18207,805
174,3508,5860
175,3251,171
176,414,6857
177,1887,29
178,423,306
179,31159,14
180,12259,2966
181,14262,109
182,32707,2
183,29141,577
184,29575,467
185,27575,112
186,27324,447
187,29339,20
188,6789,6152
189,11812,11020
190,11637,54
191,19582,1102
192,3485,1970
193,3412,274
194,19053,91
195,5756,149
196,18729,237
197,38047,6
198,19432,255
199,4387,4490
200,18012,597
201,32653,1564
202,17403,15
203,36516,280
204,22008,487
205,31552,382
206,9493,6198
207,23341,26
208,4712,1413
209,36649,193
210,10547,48
211,7993,16425
212,16173,353
213,41010,788
214,2152,830
215,16969,1066
216,22871,403
217,32517,1529
218,45452,113
219,3762,1724
220,36935,614
221,813,99
222,8582,62
223,49304,3
224,10665,1074
225,19011,7491
226,18156,221
227,40872,1566
228,43298,62
229,42762,647
230,49619,74
231,15789,1597
232,36711,764
233,28095,4438
234,40010,81
235,15821,9169
236,18103,416
237,36165,6200
238,38695,131
239,2752,159
240,16787,1820
241,48085,556
242,436,166
243,7836,1658
244,2832,301
245,54957,253
246,25000,69
247,15303,1690
248,23012,4076
249,27567,1377
250,11820,6266
251,27244,230
252,41135,1900
253,6231,412
254,59590,102
255,32550,345
256,21232,6521
257,11135,551
258,4961,11910
259,62837,104
260,24497,105
261,37194,6175
262,52090,5140
263,24617,18333
264,52831,207
265,3265,7575
266,39792,178
267,55289,116
268,9463,546
269,12625,1366
270,20975,4492
271,40480,1528
272,44606,9632
273,51365,1437
274,69251,403
275,28614,298
276,19587,1516
277,36204,256
278,36903,778
279,13528,6515
280,14466,1075
281,71576,662
282,17869,4457
283,19724,1916
284,44622,377
285,53751,6406
286,11954,723
287,5751,189
288,18698,29932
289,25405,465
290,18286,1148
291,63161,524
292,24566,12531
293,41669,1109
294,57742,93
295,7590,1932
296,48097,468
297,904,106
298,66444,416
299,58803,3090
300,17855,278
301,24150,13864
302,11048,3095
303,7039,7632
304,59345,1978
305,51147,5830
306,59308,15212
307,37964,2315
308,20846,41993
309,85696,736
310,20858,361
311,48545,3957
312,40066,444
313,48028,1752
314,94662,84
315,46217,657
316,11285,9307
317,11299,13566
318,97194,74
319,67456,226
320,38636,1519
321,74110,184
322,86788,4819
323,32092,1076
324,93103,281
325,68457,1778
326,57701,9325
327,75343,605
328,11871,1666
329,73913,733
330,43612,16510
331,68338,565
332,3731,1108
333,48246,596
334,2127,462
335,94847,787
336,22094,1761
337,16997,10063
338,54722,14494
339,31477,50
340,1820,8172
341,6004,2751
342,55887,317
343,3156,506
344,20018,900
345,89563,528
346,59932,11145
347,44155,1178
348,62315,6801
349,69637,18868
350,87449,10418
351,44115,11461
352,17943,310
353,18668,2888
354,48012,462
355,39173,20957
356,74825,1204
357,127185,0
358,73001,502
359,71839,1296
360,19419,5114
361,121846,274
362,98306,1889
363,102476,1393
364,5679,6673
365,57794,296
366,64065,12115
367,7893,5526
368,100287,5101
369,123138,400
370,54295,57117
371,63096,11811
372,107184,5524
373,89866,2396
374,61488,1802
375,46602,36634
376,119880,6761
377,89791,193
378,74852,3154
379,34849,1508
380,49082,726
381,21922,1084
382,17404,170
383,4805,2270
384,134095,1130
385,8926,744
386,52792,50498
387,110789,9372
388,140331,257
389,110508,326
390,2579,1612
391,122757,556
392,17463,19205
393,125774,325
394,46992,2529
395,133479,1898
396,124515,6386
397,101033,2039
398,122007,1704
399,89919,562
400,4959,242
401,138047,234
402,5116,2377
403,61411,3912
404,40299,4230
405,124467,11364
406,13867,3978
407,57449,6085
408,151037,1113
409,86855,29157
410,32561,122
411,110012,24796
412,7558,705
413,48121,29911
414,113697,2924
415,146826,1679
416,112015,6978
417,57779,1826
418,42564,270
419,148067,1400
420,23064,1142
421,73108,2567
422,101487,1782
423,110820,15865
424,72887,5103
425,93065,2241
426,154718,2345
427,96293,278
428,1397,12153
429,29192,2292
430,177576,139
431,88334,808
432,49946,4625
433,142344,15709
434,76831,1275
435,116335,28166
436,105220,8837
437,144741,1321
438,25252,2025
439,125447,18817
440,166973,2688
441,69336,6664
442,66013,173
443,189940,159
444,183311,399
445,174391,1129
446,155617,4463
447,47796,13152
448,193307,331
449,8427,200
450,97432,6094
451,105926,5139
452,126746,11856
453,88337,1361
454,167813,12386
455,80375,892
456,154997,8182
457,42823,124053
458,9230,9734
459,13656,4005
460,18952,53681
461,64089,3400
462,129962,45793
463,136846,13121
464,210062,80
465,214236,33
466,89348,28189
467,47431,16539
468,205161,361
469,116240,3882
470,123072,2988
471,110800,28898
472,70673,3720
473,181997,7668
474,55104,13442
475,179484,386
476,174306,991
477,199795,2491
478,63052,7309
479,34211,3206
480,31534,31204
481,88926,2260
482,15185,6188
483,27273,27930
484,205874,1571
485,132217,478
486,92760,40187
487,184729,3447
488,148768,773
489,9918,1169
490,176132,3354
491,4082,14482
492,18973,1130
493,20215,44262
494,184583,704
495,65821,3235
496,127358,305
497,194985,3407
498,227214,2867
499,46023,706
500,94634,44063
501,50450,26576
502,241954,403
503,236507,846
504,47381,10153
505,108728,28543
506,20279,60259
507,72061,32674
508,49125,452
509,220418,1326
510,190533,221
511,39557,11295
512,193729,20104
513,36715,4303
514,248453,1222
515,165261,8941
516,253125,477
517,4285,364
518,29473,3217
519,176987,4314
520,232431,4276
521,197098,14856
522,12622,5643
523,129267,1000
524,10032,50270
525,141384,2036
526,59164,4991
527,35738,1788
528,229912,647
529,16401,1911
530,265832,692
531,205692,14194
532,101791,385
533,54767,3094
534,170339,23272
535,274966,167
536,117207,9619
537,88938,26393
538,105977,6355
539,60682,119973
540,220485,710
541,3433,1372
542,261232,3048
543,44235,2931
544,151451,2321
545,213827,14466
546,144372,279
547,176262,779
548,268952,1049
549,162542,18679
550,58016,6732
551,159822,6247
552,146250,51173
553,296498,569
554,187628,41368
555,188701,17754
556,47377,811
557,25968,1749
558,89000,42084
559,118231,1236
560,297968,556
561,244524,15284
562,88477,164908
563,308909,149
564,290576,2392
565,124192,10706
566,246000,768
567,278438,4028
568,271554,3449
569,122910,2181
570,275488,5552
571,77205,378
572,257475,8567
573,55043,8009
574,285954,816
575,65220,31197
576,196483,20845
577,46582,3462
578,178234,5423
579,293296,1349
580,5104,453
581,105061,11312
582,299990,1618
583,339589,0
584,310516,8118
585,135796,778
586,107927,1733
587,340086,63
588,90956,2091
589,125649,1147
590,276788,7365
591,107950,1346
592,130436,15384
593,266610,10699
594,24881,21088
595,139800,8547
596,348568,117
597,298275,4471
598,164956,8427
599,249587,8623
600,220291,28887
601,48232,8514
602,217835,3396
603,10153,42138
604,238708,1079
605,228149,5146
606,36746,6253
607,213891,575
608,168162,954
609,309079,7775
610,266444,2326
611,145604,24225
612,313439,1410
613,1413,13038
614,1725,6409
615,215951,1082
616,3285,18958
617,283145,1986
618,370093,309
619,320369,2365
620,365508,354
621,281092,9007
622,368759,548
623,179155,1425
624,213044,548
625,89326,5758
626,99019,34606
627,314492,4621
628,360721,4353
629,214671,8993
630,323618,792
631,288840,911
632,56563,1830
633,33508,2918
634,65160,9117
635,167352,12987
636,234154,53143
637,90238,2273
638,284874,3882
639,341641,8198
640,13448,3175
641,165548,2639
642,377696,628
643,170961,76795
644,186572,75861
645,34687,1498
646,377170,3136
