crystal size,mean steps
2,0
3,0.08
4,0.29
5,1.49
6,1.69
7,2.98
8,4.9
9,8.84
10,8.64
11,7.84
12,14.34
13,13.59
14,15.59
15,22.45
16,20.03
17,22.18
18,34.63
19,62.44
20,48.13
21,57.3
22,56.99
23,79.1
24,71.69
25,73.3
26,84.65
27,90.25
28,83.2
29,86.89
30,97.53
31,148.94
32,140.88
33,128.95
34,115.24
35,155.06
36,160.95
37,164.23
38,172.37
39,190.87
40,184.11
41,208.79
42,178.87
43,243.8
44,225.49
45,270.37
46,243.79
47,257.92
48,259.95
49,329.67
50,365.69
51,272.9
52,346.3
53,333.81
54,381.63
55,352.18
56,429.35
57,376.92
58,450.03
59,468.94
60,496.53
61,442.88
62,511.9
63,610.62
64,580.5
65,537.16
66,533.69
67,606.67
68,791.88
69,696.71
70,788.79
71,767.99
72,687.1
73,753.01
74,812.34
75,667.35
76,861.24
77,936.22
78,750.96
79,890.32
80,1043.2
81,1018.64
82,1144.24
83,916.7
84,892.99
85,1262.39
86,936.58
87,1218.98
88,1008.43
89,1130
90,1063.56
91,1012.61
92,898.02
93,992.37
94,1192.16
95,1011.55
96,1196.27
97,1350.21
98,1313.75
99,1576.3
100,1760.45
101,1207.49
102,1253.17
103,1162.36
104,1328.38
105,1538.86
106,1486.62
107,1855.14
108,1617.47
109,1515.07
110,1682.56
111,1884.64
112,1802.16
113,1602.66
114,1744.74
115,1567.36
116,1983.46
117,1952.15
118,1774.19
119,2057.73
120,2196.79
121,2282.25
122,2263.78
123,2170.79
124,2261.64
125,2325.63
126,2334.03
127,2040.45
128,2052.7
129,2153.39
130,2797.11
131,3050.55
132,2315.72
133,2008.05
134,2019.42
135,1807.87
136,2460.89
137,2088.2
138,3015.67
139,2186.97
140,2287.93
141,2695.95
142,3083.45
143,2780.74
144,2810.67
145,2524.99
146,3015.6
147,2776.39
148,2744.22
149,2926.88
150,2046.02
151,3600.93
152,4397.04
153,3546.31
154,2740.31
155,3013.4
156,3673.53
157,2905.47
158,3668.65
159,3083.97
160,2910.24
161,3584.15
162,3803.01
163,3831.65
164,3085.06
165,3472.43
166,3813.04
167,4364.3
168,3533.57
169,3178.84
170,4781.63
171,4480.27
172,3722
173,4159.6
174,4770.13
175,4556.06
176,4146.76
177,4550.62
178,5593.97
179,4228.19
180,3862.17
181,4015.55
182,4507.02
183,4747.73
184,5337.52
185,4797.84
186,5839.02
187,4674.56
188,4355.69
189,5344.33
190,4884.93
191,4746.09
192,6299.33
193,4849.93
194,5344.57
195,3641.94
196,5748.09
197,4888.57
198,6352.87
199,6414.49
200,6044.65
201,5129.62
202,6471.02
203,6222.33
204,4616.05
205,5443.96
206,6065.97
207,7008.23
208,6893.5
209,6223.88
